id;repository;file;line;column;rule
1;Android-TextView-LinkBuilder;/home/matheus/Documentos/repositories/Kotlin/Android-TextView-LinkBuilder/library/src/main/java/com/klinker/android/link_builder/LinkBuilder.kt;28;1;TooMany
2;Android-TextView-LinkBuilder;/home/matheus/Documentos/repositories/Kotlin/Android-TextView-LinkBuilder/library/src/main/java/com/klinker/android/link_builder/Link.kt;22;1;TooMany
3;Bandhook-Kotlin;/home/matheus/Documentos/repositories/Kotlin/Bandhook-Kotlin/app/src/main/java/com/antonioleiva/bandhookkotlin/ui/screens/album/AlbumActivity.kt;45;1;TooMany
4;Bandhook-Kotlin;/home/matheus/Documentos/repositories/Kotlin/Bandhook-Kotlin/app/src/main/java/com/antonioleiva/bandhookkotlin/ui/screens/detail/ArtistActivity.kt;45;1;TooMany
5;Bandhook-Kotlin;/home/matheus/Documentos/repositories/Kotlin/Bandhook-Kotlin/app/src/main/java/com/antonioleiva/bandhookkotlin/di/subcomponent/detail/ArtistActivityModule.kt;32;33;LongParameterList
6;Colorful;/home/matheus/Documentos/repositories/Kotlin/Colorful/library/src/main/java/io/multimoon/colorful/ThemeEditor.kt;43;27;LongParameterList
7;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/dao/Entity.kt;473;1;LargeClass
8;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/dao/Entity.kt;178;1;TooMany
9;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/dao/Entity.kt;309;1;TooMany
10;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/dao/Entity.kt;473;1;TooMany
11;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/sql/statements/DeleteStatement.kt;23;18;LongParameterList
12;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/sql/vendors/Default.kt;10;1;TooMany
13;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/sql/vendors/Default.kt;121;1;TooMany
14;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/sql/vendors/Default.kt;171;1;TooMany
15;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/sql/vendors/OracleDialect.kt;8;1;TooMany
16;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/sql/Database.kt;100;20;LongParameterList
17;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/sql/SQLExpressionBuilder.kt;48;1;TooMany
18;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/sql/SQLExpressionBuilder.kt;1;1;TooMany
19;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/sql/Table.kt;144;1;LargeClass
20;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/sql/Table.kt;144;1;TooMany
21;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/sql/Queries.kt;1;1;TooMany
22;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/sql/Op.kt;1;1;TooMany
23;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/sql/Query.kt;77;1;TooMany
24;Exposed;/home/matheus/Documentos/repositories/Kotlin/Exposed/src/main/kotlin/org/jetbrains/exposed/sql/Transaction.kt;32;1;TooMany
25;Fotoapparat;/home/matheus/Documentos/repositories/Kotlin/Fotoapparat/fotoapparat/src/main/java/io/fotoapparat/preview/PreviewStream.kt;13;1;TooMany
26;Fotoapparat;/home/matheus/Documentos/repositories/Kotlin/Fotoapparat/fotoapparat/src/main/java/io/fotoapparat/configuration/CameraConfiguration.kt;37;5;TooMany
27;Fotoapparat;/home/matheus/Documentos/repositories/Kotlin/Fotoapparat/fotoapparat/src/main/java/io/fotoapparat/configuration/UpdateConfiguration.kt;22;5;TooMany
28;Fotoapparat;/home/matheus/Documentos/repositories/Kotlin/Fotoapparat/fotoapparat/src/main/java/io/fotoapparat/selector/PreviewFpsRangeSelectors.kt;1;1;TooMany
29;Fotoapparat;/home/matheus/Documentos/repositories/Kotlin/Fotoapparat/fotoapparat/src/main/java/io/fotoapparat/parameter/camera/apply/CameraParametersApplicator.kt;1;1;TooMany
30;Fotoapparat;/home/matheus/Documentos/repositories/Kotlin/Fotoapparat/fotoapparat/src/main/java/io/fotoapparat/hardware/CameraDevice.kt;40;1;TooMany
31;Fotoapparat;/home/matheus/Documentos/repositories/Kotlin/Fotoapparat/fotoapparat/src/main/java/io/fotoapparat/hardware/Device.kt;24;1;TooMany
32;Fotoapparat;/home/matheus/Documentos/repositories/Kotlin/Fotoapparat/fotoapparat/src/main/java/io/fotoapparat/Fotoapparat.kt;31;1;TooMany
33;Fotoapparat;/home/matheus/Documentos/repositories/Kotlin/Fotoapparat/fotoapparat/src/main/java/io/fotoapparat/FotoapparatBuilder.kt;17;1;TooMany
34;Fuel;/home/matheus/Documentos/repositories/Kotlin/Fuel/sample/src/main/kotlin/com/example/fuel/MainActivity.kt;34;1;TooMany
35;Fuel;/home/matheus/Documentos/repositories/Kotlin/Fuel/fuel/src/main/kotlin/com/github/kittinunf/fuel/core/Request.kt;23;1;TooMany
36;Fuel;/home/matheus/Documentos/repositories/Kotlin/Fuel/fuel/src/main/kotlin/com/github/kittinunf/fuel/core/FuelManager.kt;20;1;TooMany
37;Fuel;/home/matheus/Documentos/repositories/Kotlin/Fuel/fuel/src/main/kotlin/com/github/kittinunf/fuel/Fuel.kt;17;5;TooMany
38;Fuel;/home/matheus/Documentos/repositories/Kotlin/Fuel/fuel/src/main/kotlin/com/github/kittinunf/fuel/Fuel.kt;1;1;TooMany
39;JellyToolbar;/home/matheus/Documentos/repositories/Kotlin/JellyToolbar/library/src/main/java/com/yalantis/jellytoolbar/widget/JellyView.kt;17;1;TooMany
40;RxDownload;/home/matheus/Documentos/repositories/Kotlin/RxDownload/kotlin-demo/src/main/java/zlc/season/rxdownload/kotlin_demo/BasicDownloadActivity.kt;16;1;TooMany
41;RxDownload;/home/matheus/Documentos/repositories/Kotlin/RxDownload/rxdownload3/src/main/java/zlc/season/rxdownload3/database/SQLiteActor.kt;15;1;TooMany
42;RxDownload;/home/matheus/Documentos/repositories/Kotlin/RxDownload/rxdownload3/src/main/java/zlc/season/rxdownload3/core/MissionBox.kt;9;1;TooMany
43;RxDownload;/home/matheus/Documentos/repositories/Kotlin/RxDownload/rxdownload3/src/main/java/zlc/season/rxdownload3/core/DownloadCore.kt;13;1;TooMany
44;RxDownload;/home/matheus/Documentos/repositories/Kotlin/RxDownload/rxdownload3/src/main/java/zlc/season/rxdownload3/core/DownloadService.kt;38;5;TooMany
45;RxDownload;/home/matheus/Documentos/repositories/Kotlin/RxDownload/rxdownload3/src/main/java/zlc/season/rxdownload3/core/RangeTmpFile.kt;15;1;TooMany
46;RxDownload;/home/matheus/Documentos/repositories/Kotlin/RxDownload/rxdownload3/src/main/java/zlc/season/rxdownload3/core/RemoteMissionBox.kt;21;1;TooMany
47;RxDownload;/home/matheus/Documentos/repositories/Kotlin/RxDownload/rxdownload3/src/main/java/zlc/season/rxdownload3/core/LocalMissionBox.kt;12;1;TooMany
48;RxDownload;/home/matheus/Documentos/repositories/Kotlin/RxDownload/rxdownload3/src/main/java/zlc/season/rxdownload3/core/DownloadConfig.kt;85;5;TooMany
49;RxDownload;/home/matheus/Documentos/repositories/Kotlin/RxDownload/rxdownload3/src/main/java/zlc/season/rxdownload3/core/RealMission.kt;23;1;LargeClass
50;RxDownload;/home/matheus/Documentos/repositories/Kotlin/RxDownload/rxdownload3/src/main/java/zlc/season/rxdownload3/core/RealMission.kt;23;1;TooMany
51;RxDownload;/home/matheus/Documentos/repositories/Kotlin/RxDownload/rxdownload3/src/main/java/zlc/season/rxdownload3/RxDownload.kt;12;1;TooMany
52;RxDownload;/home/matheus/Documentos/repositories/Kotlin/RxDownload/rxdownload3/src/main/java/zlc/season/rxdownload3/notification/NotificationFactoryImpl.kt;19;1;TooMany
53;RxDownload;/home/matheus/Documentos/repositories/Kotlin/RxDownload/rxdownload3/src/main/java/zlc/season/rxdownload3/RxDownloadI.kt;11;1;TooMany
54;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Flowables.kt;40;48;LongParameterList
55;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Flowables.kt;47;51;LongParameterList
56;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Flowables.kt;53;54;LongParameterList
57;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Flowables.kt;61;57;LongParameterList
58;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Flowables.kt;69;60;LongParameterList
59;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Flowables.kt;107;38;LongParameterList
60;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Flowables.kt;115;41;LongParameterList
61;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Flowables.kt;121;44;LongParameterList
62;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Flowables.kt;129;47;LongParameterList
63;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Flowables.kt;137;50;LongParameterList
64;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Flowables.kt;8;1;TooMany
65;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Singles.kt;32;16;LongParameterList
66;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Singles.kt;39;16;LongParameterList
67;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Singles.kt;46;16;LongParameterList
68;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Singles.kt;54;16;LongParameterList
69;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Singles.kt;62;16;LongParameterList
70;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Maybes.kt;31;16;LongParameterList
71;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Maybes.kt;38;16;LongParameterList
72;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Maybes.kt;45;16;LongParameterList
73;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Maybes.kt;53;16;LongParameterList
74;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Maybes.kt;61;16;LongParameterList
75;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/observable.kt;1;1;TooMany
76;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Observables.kt;40;48;LongParameterList
77;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Observables.kt;47;51;LongParameterList
78;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Observables.kt;53;54;LongParameterList
79;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Observables.kt;61;57;LongParameterList
80;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Observables.kt;69;60;LongParameterList
81;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Observables.kt;107;38;LongParameterList
82;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Observables.kt;115;41;LongParameterList
83;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Observables.kt;121;44;LongParameterList
84;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Observables.kt;129;47;LongParameterList
85;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Observables.kt;137;50;LongParameterList
86;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/Observables.kt;7;1;TooMany
87;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/main/kotlin/io/reactivex/rxkotlin/flowable.kt;1;1;TooMany
88;RxKotlin;/home/matheus/Documentos/repositories/Kotlin/RxKotlin/src/examples/kotlin/io/reactivex/rxkotlin/examples/examples.kt;1;1;TooMany
89;SearchFilter;/home/matheus/Documentos/repositories/Kotlin/SearchFilter/filter/src/main/java/com/yalantis/filter/animator/FiltersListItemAnimator.kt;443;5;LongMethod
90;SearchFilter;/home/matheus/Documentos/repositories/Kotlin/SearchFilter/filter/src/main/java/com/yalantis/filter/animator/FiltersListItemAnimator.kt;12;1;LargeClass
91;SearchFilter;/home/matheus/Documentos/repositories/Kotlin/SearchFilter/filter/src/main/java/com/yalantis/filter/animator/FiltersListItemAnimator.kt;12;1;TooMany
92;SearchFilter;/home/matheus/Documentos/repositories/Kotlin/SearchFilter/filter/src/main/java/com/yalantis/filter/widget/Filter.kt;28;1;LargeClass
93;SearchFilter;/home/matheus/Documentos/repositories/Kotlin/SearchFilter/filter/src/main/java/com/yalantis/filter/widget/Filter.kt;28;1;TooMany
94;SearchFilter;/home/matheus/Documentos/repositories/Kotlin/SearchFilter/filter/src/main/java/com/yalantis/filter/widget/FilterItem.kt;24;1;TooMany
95;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/internal/config_helpers.kt;66;1;TooMany
96;SuperSLiM;/home/matheus/Documentos/repositories/Kotlin/SuperSLiM/library/src/main/kotlin/com/tonicartos/superslim/internal/config_helpers.kt;107;1;TooMany
